Basque	Finnish	French	German	Greek_Modern	Hebrew_Modern	Hindi	Indonesian	Japanese	Korean	Mandarin	Persian	Russian	Spanish	Tagalog	Thai	Turkish	Vietnamese
0.5773211244	-2.621451593	-2.676386833	3.766200852	-5.340179908	-2.55425932	49.55935718	-0.9326096393	-8.39794501	-0.1391406798	-4.338406112	7.965821888	-1.916019077	4.43145999	10.28331073	-4.369058738	-0.9922258249	1.286739371
1.301240783	-0.0475294731	-0.65769804	1.221217262	-1.693981209	-2.869364107	40.77049463	0.5002074692	-4.553922555	1.730123779	-1.404754987	12.34720958	-1.616988312	2.805575968	9.654356932	-0.991184535	-0.205212333	1.592825106
-0.5070782506	-2.070670348	-1.789674563	2.630925342	-2.478173889	-2.381385275	14.48903538	0.0178637539	-4.563995231	2.214659789	-0.8324196404	9.41242819	-1.377159385	2.779000051	4.593962387	-3.324289573	-0.6945520036	0.8499618778
-0.2160667889	-0.1635871607	-0.09631298099	-0.01447926163	-0.04962699236	-0.09646788843	-0.08404038892	-0.1143487366	-0.2973978356	0.1026448215	-0.00739225176	0.5849010566	-0.1111295706	0.00477973951	0.1010775214	-0.1538984552	-0.1563142248	-0.03396128917
-0.2403163257	-1.768321814	-3.35338996	1.130763677	-4.502928826	-2.709754245	39.30942722	0.7170939565	-6.809615334	-0.1784225242	-1.76644615	9.258190045	-1.944874977	2.618703534	6.098179004	-3.803517932	-1.548775451	1.585943746
-0.8185777027	0.7672499164	-0.0843890429	2.473849039	-1.972865173	-1.387750296	10.43377507	0.909428453	-3.64838793	-0.0105496441	-0.8739123641	7.167043996	-1.318228558	3.248815983	6.346026892	-1.887659559	-0.5886641469	0.275391631
0.04456019671	0.01982512454	-0.01742559331	0.03811579871	-0.01825157024	0.03392150286	0.1702658838	-0.03810885398	-0.0750569472	0.09977938457	0.1341617289	0.2327866457	0.04047457815	0.02396412405	0.0246141785	0.1791322852	0.07182800576	-0.03138625632
0.3645096512	-0.3117119698	-0.4337144612	2.413354302	-2.084612358	-0.9506877565	47.19888404	-1.960613213	-3.329859142	-0.4051024839	-0.6072350411	13.20131332	-1.018180797	6.668547466	12.7409333	-2.765230951	-1.358198272	3.586982341
-0.224260725	-1.62342682	-4.055770779	0.0335825013	-4.675968644	-3.197129038	57.31218814	0.8683204761	-8.482359131	-1.452332694	-4.893971728	12.64630726	-3.844235855	2.922796195	11.99475194	-3.077145658	-2.456404538	-0.3863174511
-0.2798945388	-1.908669042	-2.282972778	0.1805559604	-3.179182607	-2.468011787	42.21254187	1.010553701	-3.601643036	0.6002898807	-0.6332931708	5.928209014	-2.077322051	0.2664132565	6.538874499	-1.205886992	-1.660889684	-0.5885432367
