Basque	Finnish	French	German	Greek_Modern	Hebrew_Modern	Hindi	Indonesian	Japanese	Korean	Mandarin	Persian	Russian	Spanish	Tagalog	Thai	Turkish	Vietnamese
-0.0097586939	6.925986743	-2.304542958	-0.375929495	-2.262472318	-5.279162491	39.93578487	-2.0098682	-4.948555594	-6.051171563	-5.730552095	8.979375946	6.416920135	0.8087692662	21.64037539	3.606251909	-0.7232418726	0.4833349618
6.55969482	8.329618237	0.7183664912	-1.216803537	-2.168691593	-6.438190056	50.81925642	6.474199711	-4.536626298	-8.645005257	-6.968262242	15.21582935	12.03013789	2.981734391	15.6795618	4.302507672	5.883654342	5.124137089
-0.5081343366	4.664535594	0.7892139908	0.5798028693	-0.08907627096	-2.261799098	12.37290297	0.1547244535	-0.716547097	-1.623152573	-3.999484017	4.011056777	6.792446422	3.090040901	10.69846018	5.492855002	3.84563815	3.164169491
0.00923217956	-0.03526692273	-0.01617058675	-0.03070555011	-0.02494375053	-0.05081025941	0.02667286801	-0.05629891059	-0.02678106644	-0.05444276985	-0.00792019028	0.09589950083	0.07630432502	-0.01138758495	0.06932292162	0.02100352782	0.04904284165	-0.05382369297
1.576011789	6.917120083	-2.232380589	-0.37816399	-1.642606123	-4.346497896	56.5952651	-1.809178761	-4.691440009	-6.542823564	-6.449180688	9.747850891	9.242748726	-0.7083877075	14.8965084	7.013027816	5.54566727	0.3462451073
4.86151278	2.276520474	-0.0808271175	-0.3655677655	-1.680569267	-1.819448296	6.619416342	2.323937111	0.3083408409	-1.516451932	-1.272718553	2.485306806	1.154636697	0.2948882728	9.142802628	2.37965256	2.337580054	2.373581198
0.6607583288	0.05547151258	-0.1586507438	0.1510988603	0.246565166	0.39333516	5.644847661	0.1556025293	-0.3808040334	0.4026284661	0.3072885042	0.4249740769	0.229277429	0.3429007563	1.282624926	0.6245902619	0.7517423988	0.7777451236
11.08895253	13.26648084	-0.2369561532	-0.2394057419	10.78675193	-2.145581919	39.2910551	13.86889858	-1.428767586	-6.767200739	-4.244637501	18.51471727	23.91847027	18.67412825	26.97555986	14.80227495	8.230797984	15.84417991
12.10279968	16.23377365	1.622439101	0.8530457125	2.718814356	-2.76855817	49.12687133	9.747325337	-2.391772178	-5.410725178	-4.15863234	14.17544112	19.07836166	12.99249767	27.71769824	8.249311515	7.484982296	6.388359917
3.655927926	3.993505228	-2.210384241	0.1532896429	-3.157034768	-2.430168585	27.48614539	0.7383136133	-1.635632032	-4.400038666	-3.044858799	2.72422558	6.962678113	-1.42948242	2.875760362	4.630970678	4.138798183	-3.363973339
41.51783444	21.46572408	-0.4548964804	66.20712296	-39.22535914	-25.44303899	36.51893434	8.477397392	-28.06482347	-43.97409288	-9.324047386	18.38085073	73.28162003	17.15872783	-2.12853361	-28.44531771	71.55161671	-21.03642462
17.12813558	10.67228289	3.20035457	3.591578799	3.425082919	-1.999471305	23.01237647	5.523186587	-1.72168765	-4.23512024	-3.006281193	11.1476645	22.01604849	13.58346188	33.22049835	6.969543839	8.459145232	13.32841781
0.2232224883	0.4042872496	-0.1632675267	0.06493450717	0.02637397351	0.1029527999	1.683206608	-0.07162886451	-0.2316613017	-0.200627533	0.51036051	1.567258965	0.5101788571	-0.2587070717	0.5702686039	0.5411614625	0.8307134412	0.01306293524
